naveen,12345,50000,--,1700,5200,13100,200,0,200,2200,500,500,0,100,0,1000,500,2023-12-15,0,1200,0,100,200,0,2100,0

devi,12345,1234567,--,100,0,0,12000,0,0,0,0,0,0,0,0,0,0,2023-12-12,0,0,0,0,0,0,0,0

vasanth,12345,1234456,--,200,0,400,0,0,0,0,0,0,0,0,0,0,0,2023-12-11,200,0,400,0,0,0,0,0

T.SanthiMurugesan,sts,12000,--,3500,2000,1500,500,200,2000,2500,2000,0,1500,300,0,0,0,2023-12-15,10700,0,0,0,0,0,0,0

Miraculine,1234,1234567890,--,1334,390,0,1200,0,90,789,0,12500,0,1200,0,10000,0,2023-12-11,1158,0,0,0,0,0,0,0

Naveen,Naveen,1000000000,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-12,0,0,0,0,0,0,0,0

Rabi,12345,1000000,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-12,0,0,0,0,0,0,0,0

Benadict,wassd,100000000,--,500000000000,0,0,0,0,0,0,0,0,0,0,0,0,100,2023-12-12,0,500000000000,0,0,0,0,0,0
